dataset,generating_model,attribution_method,judging_model,fill_strategy,auc,drop_at_75
imagenet,mobilenet_v2,gradientshap,vgg16,black,0.10232499999999999,0.8109999999999999
imagenet,mobilenet_v2,gradientshap,vgg16,blur,0.41330000000000006,0.6679999999999999
imagenet,mobilenet_v2,gradientshap,vgg16,gray,0.265075,0.7649999999999999
imagenet,mobilenet_v2,gradientshap,vgg16,mean,0.30425,0.745
imagenet,mobilenet_v2,gradientshap,vgg16,random_noise,0.27092499999999997,0.7599999999999999
imagenet,mobilenet_v2,gradientshap,vgg16,white,0.10917500000000002,0.8039999999999999
imagenet,mobilenet_v2,inputxgradient,resnet50,black,0.31477499999999997,0.8580000000000001
imagenet,mobilenet_v2,inputxgradient,resnet50,blur,0.547025,0.625
imagenet,mobilenet_v2,inputxgradient,resnet50,gray,0.4603749999999999,0.7290000000000001
imagenet,mobilenet_v2,inputxgradient,resnet50,mean,0.48545,0.6980000000000001
imagenet,mobilenet_v2,inputxgradient,resnet50,random_noise,0.44567499999999993,0.775
imagenet,mobilenet_v2,inputxgradient,resnet50,white,0.294175,0.8580000000000001
imagenet,mobilenet_v2,inputxgradient,vgg16,black,0.08932500000000002,0.816
imagenet,mobilenet_v2,inputxgradient,vgg16,blur,0.37534999999999996,0.724
imagenet,mobilenet_v2,inputxgradient,vgg16,gray,0.242175,0.7839999999999999
imagenet,mobilenet_v2,inputxgradient,vgg16,mean,0.2758,0.7679999999999999
imagenet,mobilenet_v2,inputxgradient,vgg16,random_noise,0.25127499999999997,0.7709999999999999
imagenet,mobilenet_v2,inputxgradient,vgg16,white,0.09512500000000003,0.814
imagenet,mobilenet_v2,integrated_gradients,resnet50,black,0.3535750000000001,0.8180000000000001
imagenet,mobilenet_v2,integrated_gradients,resnet50,blur,0.602475,0.548
imagenet,mobilenet_v2,integrated_gradients,resnet50,gray,0.518575,0.619
imagenet,mobilenet_v2,integrated_gradients,resnet50,mean,0.54375,0.6000000000000001
imagenet,mobilenet_v2,integrated_gradients,resnet50,random_noise,0.503375,0.665
imagenet,mobilenet_v2,integrated_gradients,resnet50,white,0.32752500000000007,0.8180000000000001
imagenet,mobilenet_v2,integrated_gradients,vgg16,black,0.10857499999999998,0.8119999999999999
imagenet,mobilenet_v2,integrated_gradients,vgg16,blur,0.4304,0.6609999999999999
imagenet,mobilenet_v2,integrated_gradients,vgg16,gray,0.278875,0.756
imagenet,mobilenet_v2,integrated_gradients,vgg16,mean,0.31555000000000005,0.738
imagenet,mobilenet_v2,integrated_gradients,vgg16,random_noise,0.286175,0.737
imagenet,mobilenet_v2,integrated_gradients,vgg16,white,0.11297499999999999,0.8029999999999999
imagenet,mobilenet_v2,saliency,resnet50,black,0.28732500000000005,0.884
imagenet,mobilenet_v2,saliency,resnet50,blur,0.522725,0.671
imagenet,mobilenet_v2,saliency,resnet50,gray,0.3905750000000001,0.793
imagenet,mobilenet_v2,saliency,resnet50,mean,0.4241,0.775
imagenet,mobilenet_v2,saliency,resnet50,random_noise,0.38257499999999994,0.8180000000000001
imagenet,mobilenet_v2,saliency,resnet50,white,0.25637499999999996,0.889
imagenet,mobilenet_v2,saliency,vgg16,black,0.09192499999999999,0.816
imagenet,mobilenet_v2,saliency,vgg16,blur,0.3660999999999999,0.725
imagenet,mobilenet_v2,saliency,vgg16,gray,0.20507499999999998,0.7929999999999999
imagenet,mobilenet_v2,saliency,vgg16,mean,0.239,0.7869999999999999
imagenet,mobilenet_v2,saliency,vgg16,random_noise,0.206875,0.7919999999999999
imagenet,mobilenet_v2,saliency,vgg16,white,0.08887500000000001,0.814
imagenet,mobilenet_v2,smoothgrad,resnet50,black,0.507575,0.7160000000000001
imagenet,mobilenet_v2,smoothgrad,resnet50,blur,0.6672250000000001,0.42800000000000005
imagenet,mobilenet_v2,smoothgrad,resnet50,gray,0.5834750000000001,0.5840000000000001
imagenet,mobilenet_v2,smoothgrad,resnet50,mean,0.6057,0.534
imagenet,mobilenet_v2,smoothgrad,resnet50,random_noise,0.573975,0.607
imagenet,mobilenet_v2,smoothgrad,resnet50,white,0.5024250000000001,0.7140000000000001
imagenet,mobilenet_v2,smoothgrad,vgg16,black,0.22367500000000004,0.7939999999999999
imagenet,mobilenet_v2,smoothgrad,vgg16,blur,0.49825,0.5469999999999999
imagenet,mobilenet_v2,smoothgrad,vgg16,gray,0.34887500000000005,0.693
imagenet,mobilenet_v2,smoothgrad,vgg16,mean,0.38885,0.6719999999999999
imagenet,mobilenet_v2,smoothgrad,vgg16,random_noise,0.369275,0.6589999999999999
imagenet,mobilenet_v2,smoothgrad,vgg16,white,0.251125,0.7649999999999999
imagenet,resnet50,grad_cam,mobilenet_v2,black,0.6959000000000001,0.1130000000000001
imagenet,resnet50,grad_cam,mobilenet_v2,blur,0.654075,0.19600000000000006
imagenet,resnet50,grad_cam,mobilenet_v2,gray,0.70015,0.10300000000000009
imagenet,resnet50,grad_cam,mobilenet_v2,mean,0.6928500000000001,0.11599999999999999
imagenet,resnet50,grad_cam,mobilenet_v2,random_noise,0.60885,0.30000000000000004
imagenet,resnet50,grad_cam,mobilenet_v2,white,0.6512,0.19400000000000006
imagenet,resnet50,grad_cam,vgg16,black,0.519225,0.42099999999999993
imagenet,resnet50,grad_cam,vgg16,blur,0.6478,0.239
imagenet,resnet50,grad_cam,vgg16,gray,0.562975,0.38099999999999995
imagenet,resnet50,grad_cam,vgg16,mean,0.5819,0.3559999999999999
imagenet,resnet50,grad_cam,vgg16,random_noise,0.577075,0.3529999999999999
imagenet,resnet50,grad_cam,vgg16,white,0.538825,0.4139999999999999
imagenet,resnet50,gradientshap,mobilenet_v2,black,0.24399999999999994,0.758
imagenet,resnet50,gradientshap,mobilenet_v2,blur,0.4139749999999999,0.653
imagenet,resnet50,gradientshap,mobilenet_v2,gray,0.33105000000000007,0.7210000000000001
imagenet,resnet50,gradientshap,mobilenet_v2,mean,0.3636000000000001,0.6970000000000001
imagenet,resnet50,gradientshap,mobilenet_v2,random_noise,0.3209,0.736
imagenet,resnet50,gradientshap,mobilenet_v2,white,0.2158,0.773
imagenet,resnet50,gradientshap,vgg16,black,0.089825,0.816
imagenet,resnet50,gradientshap,vgg16,blur,0.38435,0.716
imagenet,resnet50,gradientshap,vgg16,gray,0.23812500000000006,0.7909999999999999
imagenet,resnet50,gradientshap,vgg16,mean,0.27579999999999993,0.7829999999999999
imagenet,resnet50,gradientshap,vgg16,random_noise,0.24507500000000002,0.7729999999999999
imagenet,resnet50,gradientshap,vgg16,white,0.09237500000000001,0.813
imagenet,resnet50,inputxgradient,mobilenet_v2,black,0.2205499999999999,0.769
imagenet,resnet50,inputxgradient,mobilenet_v2,blur,0.38082499999999997,0.6920000000000001
imagenet,resnet50,inputxgradient,mobilenet_v2,gray,0.3078,0.743
imagenet,resnet50,inputxgradient,mobilenet_v2,mean,0.33480000000000004,0.7130000000000001
imagenet,resnet50,inputxgradient,mobilenet_v2,random_noise,0.29605,0.762
imagenet,resnet50,inputxgradient,mobilenet_v2,white,0.19399999999999998,0.784
imagenet,resnet50,inputxgradient,vgg16,black,0.07867500000000001,0.816
imagenet,resnet50,inputxgradient,vgg16,blur,0.35119999999999996,0.756
imagenet,resnet50,inputxgradient,vgg16,gray,0.21757499999999996,0.7989999999999999
imagenet,resnet50,inputxgradient,vgg16,mean,0.2539,0.7879999999999999
imagenet,resnet50,inputxgradient,vgg16,random_noise,0.223925,0.7899999999999999
