dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,0.0,0.801
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,5.0,0.779
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,10.0,0.769
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,15.0,0.757
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,20.0,0.752
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,25.0,0.749
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,30.0,0.739
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,35.0,0.738
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,40.0,0.722
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,45.0,0.705
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,50.0,0.687
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,55.0,0.676
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,60.0,0.653
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,65.0,0.609
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,70.0,0.555
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,75.0,0.521
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,80.0,0.436
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,85.0,0.336
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,90.0,0.205
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,95.0,0.068
imagenet,independent,dino+u2net_sum,mobilenet_v2,white,100.0,0.001
imagenet,independent,dino+u2net_sum,resnet50,black,0.0,0.92
imagenet,independent,dino+u2net_sum,resnet50,black,5.0,0.917
imagenet,independent,dino+u2net_sum,resnet50,black,10.0,0.918
imagenet,independent,dino+u2net_sum,resnet50,black,15.0,0.914
imagenet,independent,dino+u2net_sum,resnet50,black,20.0,0.906
imagenet,independent,dino+u2net_sum,resnet50,black,25.0,0.898
imagenet,independent,dino+u2net_sum,resnet50,black,30.0,0.902
imagenet,independent,dino+u2net_sum,resnet50,black,35.0,0.892
imagenet,independent,dino+u2net_sum,resnet50,black,40.0,0.888
imagenet,independent,dino+u2net_sum,resnet50,black,45.0,0.878
imagenet,independent,dino+u2net_sum,resnet50,black,50.0,0.859
imagenet,independent,dino+u2net_sum,resnet50,black,55.0,0.851
imagenet,independent,dino+u2net_sum,resnet50,black,60.0,0.839
imagenet,independent,dino+u2net_sum,resnet50,black,65.0,0.807
imagenet,independent,dino+u2net_sum,resnet50,black,70.0,0.776
imagenet,independent,dino+u2net_sum,resnet50,black,75.0,0.736
imagenet,independent,dino+u2net_sum,resnet50,black,80.0,0.659
imagenet,independent,dino+u2net_sum,resnet50,black,85.0,0.509
imagenet,independent,dino+u2net_sum,resnet50,black,90.0,0.354
imagenet,independent,dino+u2net_sum,resnet50,black,95.0,0.117
imagenet,independent,dino+u2net_sum,resnet50,black,100.0,0.001
imagenet,independent,dino+u2net_sum,resnet50,blur,0.0,0.92
imagenet,independent,dino+u2net_sum,resnet50,blur,5.0,0.921
imagenet,independent,dino+u2net_sum,resnet50,blur,10.0,0.917
imagenet,independent,dino+u2net_sum,resnet50,blur,15.0,0.914
imagenet,independent,dino+u2net_sum,resnet50,blur,20.0,0.913
imagenet,independent,dino+u2net_sum,resnet50,blur,25.0,0.906
imagenet,independent,dino+u2net_sum,resnet50,blur,30.0,0.902
imagenet,independent,dino+u2net_sum,resnet50,blur,35.0,0.902
