image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00061,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00061,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00062,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00062,grad_cam,mobilenet_v2,0.5,0.0,25.0,50.0
image_00063,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00063,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00064,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00064,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00065,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00065,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00066,grad_cam,resnet50,0.575,-1.0,0.0,75.0
image_00066,grad_cam,mobilenet_v2,0.3,0.0,5.0,75.0
image_00067,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00067,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00068,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00068,grad_cam,mobilenet_v2,0.325,1.0,0.0,5.0
image_00069,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00069,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00070,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00070,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00071,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00071,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00072,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00072,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00073,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00073,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00074,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00074,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00075,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00075,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00076,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00076,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00077,grad_cam,resnet50,0.625,1.0,50.0,75.0
