image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00242,grad_cam,resnet50,1.0,18360.630859375,1.7328037023544312,10.48791790008545,0.22706074617346939
image_00242,grad_cam,mobilenet_v2,1.0,18360.630859375,1.7328037023544312,10.48791790008545,0.22706074617346939
image_00243,grad_cam,resnet50,1.0,12792.5341796875,2.922287702560425,10.310401916503906,0.43076371173469385
image_00243,grad_cam,mobilenet_v2,0.0,12792.5341796875,2.922287702560425,10.310401916503906,0.43076371173469385
image_00244,grad_cam,resnet50,1.0,22567.318359375,1.2233922481536865,10.632394790649414,0.12137276785714286
image_00244,grad_cam,mobilenet_v2,1.0,22567.318359375,1.2233922481536865,10.632394790649414,0.12137276785714286
image_00245,grad_cam,resnet50,1.0,29748.34375,0.6866821646690369,10.694135665893555,0.06959502551020408
image_00245,grad_cam,mobilenet_v2,1.0,29748.34375,0.6866821646690369,10.694135665893555,0.06959502551020408
image_00246,grad_cam,resnet50,1.0,17232.013671875,1.9117895364761353,10.447259902954102,0.28451849489795916
image_00246,grad_cam,mobilenet_v2,1.0,17232.013671875,1.9117895364761353,10.447259902954102,0.28451849489795916
image_00247,grad_cam,resnet50,1.0,21591.91015625,1.3238333463668823,10.644830703735352,0.09857302295918367
image_00247,grad_cam,mobilenet_v2,0.0,21591.91015625,1.3238333463668823,10.644830703735352,0.09857302295918367
image_00248,grad_cam,resnet50,1.0,17634.8046875,1.8452824354171753,10.52618408203125,0.2099609375
image_00248,grad_cam,mobilenet_v2,1.0,17634.8046875,1.8452824354171753,10.52618408203125,0.2099609375
image_00249,grad_cam,resnet50,1.0,22866.787109375,1.1942741870880127,10.594230651855469,0.13586176658163265
image_00249,grad_cam,mobilenet_v2,1.0,22866.787109375,1.1942741870880127,10.594230651855469,0.13586176658163265
image_00250,grad_cam,resnet50,0.0,20175.3125,1.4869998693466187,10.594827651977539,0.1708984375
image_00250,grad_cam,mobilenet_v2,0.0,20175.3125,1.4869998693466187,10.594827651977539,0.1708984375
image_00251,grad_cam,resnet50,1.0,20783.474609375,1.4142258167266846,10.57943344116211,0.15471540178571427
